transactionid,cashierid,transactiontime,totalamount,paymentmethod,status
5904,4,2025-06-11 20:46:03,10.49,card,completed
5905,2,2025-06-11 12:12:58,0.00,card,voided
5906,4,2025-06-11 14:58:14,5.98,applepay,completed
5907,4,2025-06-11 17:17:22,10.69,card,completed
5908,3,2025-06-11 11:40:19,5.12,card,completed
5909,3,2025-06-11 19:51:37,15.76,card,completed
5910,4,2025-06-11 16:25:45,22.44,card,completed
5911,1,2025-06-11 19:10:39,4.91,card,completed
5912,2,2025-06-11 20:02:01,5.24,applepay,completed
5913,3,2025-06-11 13:57:20,10.20,applepay,completed
5914,2,2025-06-11 20:37:30,21.32,card,completed
5915,4,2025-06-11 13:18:08,16.11,applepay,completed
5916,3,2025-06-11 19:09:03,6.03,card,completed
5917,4,2025-06-11 16:28:19,5.32,applepay,completed
5918,4,2025-06-11 12:48:07,10.67,card,completed
5919,2,2025-06-11 21:12:25,5.51,card,completed
5920,1,2025-06-11 19:50:46,4.89,card,completed
5921,4,2025-06-11 17:29:45,16.53,cash,completed
5922,3,2025-06-11 15:11:51,15.40,card,completed
5923,1,2025-06-11 18:55:15,10.11,card,completed
5924,4,2025-06-11 18:24:40,21.21,cash,completed
5925,3,2025-06-11 11:19:42,2.01,card,completed
5926,3,2025-06-11 19:18:04,15.42,card,completed
5927,1,2025-06-11 12:54:56,5.48,card,completed
5928,1,2025-06-11 22:56:41,5.58,card,completed
5929,1,2025-06-11 16:35:59,10.21,card,completed
5930,1,2025-06-11 17:43:05,20.29,card,completed
5931,3,2025-06-11 17:45:39,11.06,cash,completed
5932,1,2025-06-11 13:58:30,5.68,card,completed
5933,1,2025-06-11 15:09:53,22.03,card,completed
5934,3,2025-06-11 17:38:15,10.49,applepay,completed
5935,3,2025-06-11 18:25:13,4.63,applepay,completed
5936,4,2025-06-11 17:04:54,11.69,card,completed
5937,4,2025-06-11 18:42:27,6.15,card,completed
5938,2,2025-06-11 15:35:20,5.11,card,completed
5939,2,2025-06-11 17:57:12,15.50,card,completed
5940,1,2025-06-11 21:18:16,5.92,applepay,completed
5941,4,2025-06-11 21:44:47,12.00,card,completed
5942,1,2025-06-11 17:18:01,15.95,applepay,completed
5943,4,2025-06-11 15:28:44,10.13,card,completed
5944,3,2025-06-11 14:13:23,15.32,applepay,completed
5945,3,2025-06-11 13:28:47,5.27,cash,completed
5946,4,2025-06-11 16:09:32,5.51,card,completed
5947,4,2025-06-11 13:00:08,10.11,card,completed
5948,3,2025-06-11 16:29:21,16.51,card,completed
5949,2,2025-06-11 12:25:47,5.85,card,completed
5950,4,2025-06-11 15:12:22,10.36,card,completed
5951,1,2025-06-11 22:07:07,16.59,card,completed
5952,3,2025-06-11 21:50:52,5.20,card,completed
5953,3,2025-06-11 12:18:48,4.79,card,completed
5954,1,2025-06-11 17:16:09,16.69,card,completed
5955,1,2025-06-11 12:36:01,5.71,card,completed
5956,4,2025-06-11 22:40:56,10.68,applepay,completed
5957,3,2025-06-11 14:45:13,5.79,card,completed
5958,4,2025-06-11 14:45:11,5.79,cash,completed
5959,1,2025-06-11 20:40:48,5.24,card,completed
5960,3,2025-06-11 18:47:46,6.10,applepay,completed
5961,4,2025-06-11 22:09:52,27.52,card,completed
5962,3,2025-06-11 17:06:00,5.97,applepay,completed
5963,3,2025-06-11 12:02:30,10.45,cash,completed
5964,3,2025-06-11 20:12:24,5.32,card,completed
5965,2,2025-06-11 22:49:36,10.81,card,completed
5966,3,2025-06-11 14:40:59,10.67,card,completed
5967,4,2025-06-11 12:41:50,15.65,card,completed
5968,3,2025-06-11 20:11:46,11.27,card,completed
5969,3,2025-06-11 16:19:57,19.68,card,completed
5970,1,2025-06-11 19:05:58,6.62,card,completed
5971,3,2025-06-11 15:47:50,5.93,card,completed
5972,1,2025-06-11 11:16:46,4.72,card,completed
5973,1,2025-06-11 17:30:19,20.95,card,completed
5974,2,2025-06-11 20:08:36,4.85,applepay,completed
5975,3,2025-06-11 12:22:23,5.29,card,completed
5976,3,2025-06-11 18:55:06,21.13,applepay,completed
5977,2,2025-06-11 18:15:17,11.39,card,completed
5978,3,2025-06-11 11:05:06,5.19,card,completed
5979,2,2025-06-11 22:47:07,5.51,card,completed
5980,1,2025-06-11 17:55:54,6.27,card,completed
5981,2,2025-06-11 17:10:42,11.36,cash,completed
5982,3,2025-06-11 13:34:22,10.17,card,completed
5983,1,2025-06-11 16:55:24,10.47,card,completed
5984,4,2025-06-11 13:29:35,10.18,card,completed
5985,4,2025-06-11 18:37:35,11.16,applepay,completed
5986,1,2025-06-11 14:48:23,10.07,card,completed
5987,3,2025-06-11 11:01:33,20.82,card,completed
5988,1,2025-06-11 14:21:50,5.46,applepay,completed
5989,2,2025-06-11 12:28:53,16.62,card,completed
5990,3,2025-06-11 15:51:57,15.62,card,completed
5991,4,2025-06-11 13:22:09,5.30,card,completed
5992,2,2025-06-11 14:25:03,10.26,card,completed
5993,3,2025-06-11 15:11:40,10.79,card,completed
5994,3,2025-06-11 14:43:38,9.73,card,completed
5995,1,2025-06-11 20:21:36,15.20,card,completed
5996,1,2025-06-11 19:16:02,16.14,card,completed
5997,3,2025-06-11 14:29:21,20.15,card,completed
5998,4,2025-06-11 12:38:19,9.92,card,completed
5999,4,2025-06-11 12:55:05,5.86,card,completed
6000,2,2025-06-11 18:45:12,5.21,card,completed
6001,2,2025-06-11 15:41:42,5.51,applepay,completed
6002,2,2025-06-11 14:16:36,9.22,applepay,completed
6003,3,2025-06-11 18:17:29,5.01,card,completed
6004,1,2025-06-11 15:38:38,5.09,card,completed
6005,2,2025-06-11 11:19:08,5.04,card,completed
6006,2,2025-06-11 12:00:30,10.40,card,completed
6007,1,2025-06-11 15:12:55,5.16,card,completed
6008,2,2025-06-11 12:49:22,25.82,card,completed
6009,1,2025-06-11 22:10:40,4.79,card,completed
6010,4,2025-06-11 13:55:57,5.33,card,completed
6011,1,2025-06-11 15:41:41,11.42,card,completed
6012,1,2025-06-11 16:51:50,16.48,card,completed
6013,2,2025-06-11 19:58:43,5.55,cash,completed
6014,2,2025-06-11 20:29:58,21.90,card,completed
6015,3,2025-06-11 14:42:43,5.97,applepay,completed
6016,3,2025-06-11 17:01:57,20.11,cash,completed
6017,1,2025-06-11 19:28:42,5.13,card,completed
6018,4,2025-06-11 14:07:10,5.56,applepay,completed
6019,4,2025-06-11 16:29:44,11.16,card,completed
6020,3,2025-06-11 14:17:53,5.52,card,completed
6021,4,2025-06-11 21:30:17,0.67,applepay,completed
6022,1,2025-06-11 12:14:52,15.80,applepay,completed
6023,3,2025-06-11 20:59:27,5.39,cash,completed
6024,2,2025-06-11 17:30:55,5.31,applepay,completed
6025,3,2025-06-11 21:39:05,5.35,card,completed
6026,1,2025-06-11 17:05:47,5.31,card,completed
6027,3,2025-06-11 13:15:08,15.71,card,completed
6028,3,2025-06-11 16:45:50,5.92,card,completed
6029,4,2025-06-11 17:56:49,15.22,card,completed
6030,3,2025-06-11 11:02:21,5.44,card,completed
6031,1,2025-06-11 21:39:50,17.11,card,completed
6032,4,2025-06-11 12:15:01,5.98,card,completed
6033,1,2025-06-11 12:11:53,5.51,cash,completed
6034,2,2025-06-11 14:18:35,4.42,applepay,completed
6035,4,2025-06-11 19:02:34,5.13,applepay,completed
6036,1,2025-06-11 19:03:54,5.31,card,completed
6037,1,2025-06-11 19:12:32,10.53,applepay,completed
6038,4,2025-06-11 20:04:26,5.86,applepay,completed
6039,1,2025-06-11 19:04:41,21.59,cash,completed
6040,3,2025-06-11 15:02:21,5.42,card,completed
6041,4,2025-06-11 20:15:48,26.37,applepay,completed
6042,1,2025-06-11 21:57:09,5.95,applepay,completed
6043,2,2025-06-11 16:18:58,5.98,card,completed
6044,3,2025-06-11 12:17:14,5.41,card,completed
6045,1,2025-06-11 11:35:01,21.32,card,completed
6046,1,2025-06-11 21:03:24,10.00,card,completed
6047,2,2025-06-11 17:43:14,11.41,card,completed
6048,1,2025-06-11 17:15:27,4.89,card,completed
6049,2,2025-06-11 14:55:31,5.93,applepay,completed
6050,3,2025-06-11 12:23:54,15.31,card,completed
6051,2,2025-06-11 11:28:34,5.25,card,completed
6052,3,2025-06-12 12:30:38,5.34,card,completed
6053,3,2025-06-12 18:56:53,14.73,card,completed
6054,4,2025-06-12 12:48:27,11.79,card,completed
6055,2,2025-06-12 14:28:04,5.16,card,completed
6056,1,2025-06-12 13:24:37,22.37,card,completed
6057,4,2025-06-12 16:53:17,10.76,applepay,completed
6058,3,2025-06-12 16:21:33,26.88,card,completed
6059,1,2025-06-12 17:16:53,5.33,card,completed
6060,2,2025-06-12 17:00:42,5.13,card,completed
6061,1,2025-06-12 21:02:17,5.34,applepay,completed
6062,4,2025-06-12 13:37:39,10.30,card,completed
6063,3,2025-06-12 15:35:58,5.17,card,completed
6064,1,2025-06-12 17:17:32,5.22,card,completed
6065,1,2025-06-12 14:52:33,11.33,card,completed
6066,1,2025-06-12 20:27:45,9.71,applepay,completed
6067,1,2025-06-12 12:03:29,10.85,applepay,completed
6068,4,2025-06-12 15:50:37,5.37,card,completed
6069,1,2025-06-12 12:53:43,5.49,card,completed
6070,4,2025-06-12 12:41:26,5.99,card,completed
6071,4,2025-06-12 16:15:38,5.11,card,completed
6072,3,2025-06-12 16:35:07,16.02,card,completed
6073,1,2025-06-12 18:14:07,15.93,cash,completed
6074,1,2025-06-12 14:01:34,16.31,card,completed
6075,1,2025-06-12 21:15:45,22.93,applepay,completed
6076,2,2025-06-12 13:20:13,10.33,card,completed
6077,1,2025-06-12 21:57:01,5.48,card,completed
6078,4,2025-06-12 13:26:54,4.78,card,completed
6079,2,2025-06-12 12:01:27,5.74,card,completed
6080,1,2025-06-12 14:13:46,15.79,card,completed
6081,3,2025-06-12 19:39:07,4.89,card,completed
6082,3,2025-06-12 12:03:34,6.05,card,completed
6083,3,2025-06-12 15:13:30,5.16,applepay,completed
6084,4,2025-06-12 17:52:36,10.49,cash,completed
6085,4,2025-06-12 15:55:04,11.01,card,completed
6086,4,2025-06-12 19:10:11,15.98,card,completed
6087,1,2025-06-12 17:45:53,5.45,cash,completed
6088,2,2025-06-12 13:27:33,4.90,card,completed
6089,1,2025-06-12 13:03:29,10.05,card,completed
6090,3,2025-06-12 20:48:47,10.47,applepay,completed
6091,3,2025-06-12 18:12:44,5.44,applepay,completed
6092,4,2025-06-12 12:51:06,12.04,card,completed
6093,1,2025-06-12 17:35:23,10.61,cash,completed
6094,2,2025-06-12 19:22:49,5.49,card,completed
6095,2,2025-06-12 13:47:10,10.51,card,completed
6096,2,2025-06-12 16:37:29,5.56,card,completed
6097,4,2025-06-12 15:43:03,9.85,card,completed
6098,4,2025-06-12 21:09:45,20.07,card,completed
6099,1,2025-06-12 14:23:54,11.90,card,completed
6100,4,2025-06-12 19:17:38,5.48,card,completed
6101,1,2025-06-12 18:40:18,5.02,card,completed
6102,3,2025-06-12 15:56:32,11.04,cash,completed
6103,1,2025-06-12 14:57:09,10.45,card,completed
6104,3,2025-06-12 13:59:01,10.48,card,completed
6105,1,2025-06-12 12:12:35,10.73,card,completed
6106,4,2025-06-12 21:57:09,16.52,card,completed
6107,1,2025-06-12 18:09:28,20.39,card,completed
6108,2,2025-06-12 17:02:37,5.55,card,completed
6109,3,2025-06-12 14:54:23,10.30,card,completed
6110,2,2025-06-12 13:59:59,11.10,applepay,completed
6111,4,2025-06-12 17:51:18,5.56,card,completed
6112,4,2025-06-12 14:30:35,15.86,applepay,completed
6113,2,2025-06-12 20:36:22,10.88,card,completed
6114,3,2025-06-12 22:38:44,10.38,card,completed
6115,3,2025-06-12 13:05:03,5.31,applepay,completed
6116,1,2025-06-12 12:18:48,5.32,cash,completed
6117,3,2025-06-12 13:44:01,5.33,card,completed
6118,1,2025-06-12 17:28:23,16.03,applepay,completed
6119,1,2025-06-12 11:33:21,5.99,card,completed
6120,2,2025-06-12 19:57:59,4.93,card,completed
6121,1,2025-06-12 12:53:39,10.68,card,completed
6122,3,2025-06-12 13:59:52,5.33,card,completed
6123,4,2025-06-12 18:33:58,5.34,card,completed
6124,4,2025-06-12 17:31:28,22.14,applepay,completed
6125,4,2025-06-12 11:45:32,10.52,applepay,completed
6126,1,2025-06-12 17:04:08,10.87,card,completed
6127,1,2025-06-12 17:23:54,21.99,cash,completed
6128,3,2025-06-12 17:39:37,15.36,card,completed
6129,2,2025-06-12 13:42:39,11.32,card,completed
6130,3,2025-06-12 14:16:49,10.78,card,completed
6131,2,2025-06-12 18:34:32,10.40,card,completed
6132,2,2025-06-12 22:26:15,10.59,applepay,completed
6133,4,2025-06-12 16:20:45,19.93,card,completed
6134,2,2025-06-12 18:52:11,16.74,card,completed
6135,2,2025-06-12 16:08:28,16.27,card,completed
6136,2,2025-06-12 15:14:01,16.00,card,completed
6137,4,2025-06-12 13:06:15,9.15,card,completed
6138,3,2025-06-12 13:06:33,10.52,applepay,completed
6139,1,2025-06-12 15:23:07,5.69,card,completed
6140,2,2025-06-12 21:53:53,5.82,card,completed
6141,2,2025-06-12 19:16:54,16.04,card,completed
6142,2,2025-06-12 19:46:31,5.33,card,completed
6143,3,2025-06-12 13:38:54,0.00,card,voided
6144,4,2025-06-12 16:51:09,10.70,card,completed
6145,2,2025-06-12 17:56:55,15.87,card,completed
6146,3,2025-06-12 13:49:09,24.72,applepay,completed
6147,1,2025-06-12 19:09:39,5.21,card,completed
6148,2,2025-06-12 20:15:37,14.61,card,completed
6149,1,2025-06-12 17:28:38,4.64,cash,completed
6150,3,2025-06-12 11:01:21,14.95,card,completed
6151,2,2025-06-12 16:28:42,5.23,card,completed
6152,2,2025-06-12 12:10:44,20.22,card,completed
6153,4,2025-06-12 14:51:25,5.29,applepay,completed
6154,4,2025-06-12 20:13:47,1.39,card,completed
6155,2,2025-06-12 17:34:57,5.19,card,completed
6156,2,2025-06-12 17:39:51,6.04,card,completed
6157,4,2025-06-12 11:41:00,10.67,card,completed
6158,2,2025-06-12 22:45:40,5.57,card,completed
6159,1,2025-06-12 19:25:52,0.69,applepay,completed
6160,2,2025-06-12 13:34:03,10.52,applepay,completed
6161,4,2025-06-12 14:20:19,11.23,card,completed
6162,2,2025-06-12 22:36:44,4.84,cash,completed
6163,3,2025-06-12 21:54:11,6.05,applepay,completed
6164,4,2025-06-12 21:15:01,10.49,card,completed
6165,3,2025-06-12 20:24:46,9.62,applepay,completed
6166,4,2025-06-12 21:51:32,11.01,card,completed
6167,1,2025-06-12 20:56:58,6.11,applepay,completed
6168,2,2025-06-12 20:19:55,15.60,card,completed
6169,1,2025-06-12 20:42:07,5.38,card,completed
6170,3,2025-06-12 20:35:13,5.44,card,completed
6171,1,2025-06-12 22:14:14,11.46,card,completed
6172,1,2025-06-12 19:35:56,5.14,card,completed
6173,4,2025-06-12 14:42:34,14.86,card,completed
6174,4,2025-06-12 18:41:49,5.55,applepay,completed
6175,2,2025-06-12 22:58:19,0.67,card,completed
6176,4,2025-06-12 21:29:10,15.29,card,completed
6177,1,2025-06-12 20:54:36,5.54,card,completed
6178,1,2025-06-12 17:34:28,5.32,applepay,completed
6179,3,2025-06-12 11:00:21,5.15,card,completed
6180,1,2025-06-12 19:44:52,11.07,card,completed
6181,3,2025-06-12 16:50:06,11.19,card,completed
6182,1,2025-06-12 12:34:02,10.28,card,completed
6183,4,2025-06-12 22:24:00,9.98,card,completed
6184,3,2025-06-12 12:39:28,5.50,card,completed
6185,3,2025-06-12 18:19:15,4.53,card,completed
6186,3,2025-06-12 13:08:13,16.16,card,completed
6187,1,2025-06-12 13:29:39,0.67,card,completed
6188,1,2025-06-12 19:58:23,15.52,card,completed
6189,2,2025-06-12 14:55:26,9.76,card,completed
6190,4,2025-06-12 13:09:15,15.59,card,completed
6191,2,2025-06-12 22:32:04,4.84,card,completed
6192,4,2025-06-12 16:55:11,5.29,card,completed
6193,1,2025-06-12 17:16:46,10.15,card,completed
6194,1,2025-06-12 19:22:37,5.40,card,completed
6195,4,2025-06-12 17:21:40,5.78,card,completed
6196,1,2025-06-12 19:50:35,19.98,card,completed
6197,4,2025-06-12 21:19:01,10.71,applepay,completed
6198,3,2025-06-12 14:04:35,10.94,card,completed
6199,1,2025-06-12 15:30:35,16.81,applepay,completed
6200,1,2025-06-12 21:27:56,4.68,card,completed
6201,4,2025-06-12 11:48:59,5.37,card,completed
6202,3,2025-06-12 15:42:10,1.36,card,completed
6203,4,2025-06-12 13:23:19,9.11,applepay,completed
6204,4,2025-06-12 16:14:54,27.19,card,completed
6205,4,2025-06-12 19:44:41,1.38,cash,completed
6206,1,2025-06-12 13:47:28,4.92,card,completed
6207,1,2025-06-12 15:04:08,11.41,applepay,completed
6208,4,2025-06-12 18:01:07,9.78,card,completed
6209,4,2025-06-12 11:16:53,9.96,applepay,completed
6210,2,2025-06-12 11:21:34,19.10,card,completed
6211,2,2025-06-12 12:46:49,21.42,card,completed
6212,1,2025-06-12 16:24:48,26.03,cash,completed
6213,1,2025-06-12 17:12:46,5.45,card,completed
6214,3,2025-06-12 18:50:04,15.95,card,completed
6215,3,2025-06-12 14:20:33,10.79,card,completed
6216,3,2025-06-12 13:50:56,5.57,card,completed
6217,2,2025-06-12 22:51:33,22.11,card,completed
6218,2,2025-06-12 12:44:43,15.06,card,completed
6219,2,2025-06-12 19:06:43,5.47,card,completed
6220,2,2025-06-12 11:27:36,5.81,card,completed
6221,2,2025-06-12 14:42:53,5.22,applepay,completed
6222,4,2025-06-12 15:41:14,4.92,applepay,completed
6223,4,2025-06-12 11:25:27,5.29,card,completed
6224,1,2025-06-12 12:52:10,5.55,card,completed
6225,1,2025-06-12 13:42:23,5.40,card,completed
6226,3,2025-06-12 17:07:46,6.44,applepay,completed
6227,3,2025-06-12 11:16:50,5.99,card,completed
6228,1,2025-06-12 17:48:42,10.88,card,completed
6229,1,2025-06-12 12:17:53,17.46,applepay,completed
6230,4,2025-06-12 21:26:15,10.25,card,completed
6231,3,2025-06-12 17:20:06,14.36,card,completed
6232,2,2025-06-12 13:50:49,20.52,card,completed
6233,3,2025-06-12 18:03:00,16.24,card,completed
6234,2,2025-06-12 15:37:59,5.37,applepay,completed
6235,4,2025-06-12 18:43:10,14.88,card,completed
6236,3,2025-06-12 20:22:21,5.99,card,completed
6237,1,2025-06-12 12:44:24,10.33,card,completed
6238,2,2025-06-12 13:37:53,5.03,cash,completed
6239,3,2025-06-12 12:43:09,16.13,cash,completed
6240,2,2025-06-12 13:46:07,5.50,card,completed
6241,3,2025-06-12 17:05:24,6.02,card,completed
6242,2,2025-06-12 20:30:21,16.71,card,completed
6243,4,2025-06-12 22:30:46,5.47,card,completed
6244,3,2025-06-12 16:33:18,9.92,card,completed
6245,1,2025-06-12 18:03:00,6.12,card,completed
6246,1,2025-06-12 13:50:07,20.70,applepay,completed
6247,4,2025-06-12 11:31:03,15.61,card,completed
6248,3,2025-06-12 17:33:29,15.29,card,completed
6249,3,2025-06-12 12:48:35,14.17,card,completed
6250,3,2025-06-12 18:35:01,15.52,cash,completed
6251,2,2025-06-12 14:21:23,11.74,card,completed
6252,4,2025-06-12 20:15:06,15.57,card,completed
6253,4,2025-06-12 14:09:09,10.16,card,completed
6254,1,2025-06-12 13:54:15,5.26,card,completed
6255,1,2025-06-12 19:05:37,10.23,cash,completed
6256,3,2025-06-12 11:50:42,11.53,card,completed
6257,1,2025-06-12 13:00:23,10.06,applepay,completed
6258,1,2025-06-12 17:02:42,4.50,cash,completed
6259,2,2025-06-12 13:14:27,5.55,cash,completed
6260,4,2025-06-12 22:29:54,10.04,card,completed
6261,3,2025-06-12 15:05:00,5.11,card,completed
6262,1,2025-06-12 18:39:56,5.37,card,completed
6263,2,2025-06-12 17:32:06,5.26,card,completed
6264,3,2025-06-12 14:00:02,5.28,card,completed
6265,1,2025-06-12 12:13:30,17.17,card,completed
6266,3,2025-06-12 14:33:15,14.93,card,completed
6267,3,2025-06-12 19:56:20,16.50,card,completed
6268,2,2025-06-12 17:49:35,10.68,card,completed
6269,4,2025-06-12 13:48:54,5.30,cash,completed
6270,2,2025-06-12 15:04:24,5.34,card,completed
6271,2,2025-06-12 13:21:54,11.46,card,completed
6272,3,2025-06-12 16:31:01,16.58,applepay,completed
6273,3,2025-06-12 17:19:56,10.88,card,completed
6274,1,2025-06-12 17:56:58,5.31,cash,completed
6275,1,2025-06-12 13:02:07,5.90,card,completed
6276,3,2025-06-12 17:12:01,26.83,applepay,completed
6277,3,2025-06-12 17:43:13,5.32,applepay,completed
6278,1,2025-06-12 16:00:55,21.37,card,completed
6279,2,2025-06-12 16:07:37,5.00,cash,completed
6280,2,2025-06-12 18:55:21,5.55,card,completed
6281,1,2025-06-12 12:30:14,5.80,card,completed
6282,2,2025-06-12 12:39:09,4.74,applepay,completed
6283,4,2025-06-12 15:24:32,5.31,cash,completed
6284,4,2025-06-12 14:28:53,5.11,card,completed
6285,1,2025-06-12 11:21:58,5.48,card,completed
6286,4,2025-06-12 21:13:11,6.22,cash,completed
6287,2,2025-06-12 11:04:10,5.32,card,completed
6288,4,2025-06-12 13:57:30,6.07,card,completed
6289,4,2025-06-12 17:12:05,0.00,applepay,voided
6290,1,2025-06-12 12:40:04,5.91,card,completed
6291,2,2025-06-12 16:07:18,5.20,card,completed
6292,2,2025-06-12 16:27:07,5.34,card,completed
6293,1,2025-06-12 22:43:35,10.43,card,completed
6294,4,2025-06-12 15:54:29,11.02,card,completed
6295,4,2025-06-12 19:41:13,14.91,cash,completed
6296,3,2025-06-12 14:54:12,5.18,card,completed
6297,1,2025-06-13 13:39:34,5.30,card,completed
6298,4,2025-06-13 15:38:22,5.37,applepay,completed
6299,1,2025-06-13 16:51:37,14.45,applepay,completed
6300,1,2025-06-13 13:48:19,10.70,card,completed
6301,4,2025-06-13 18:36:16,11.62,card,completed
6302,2,2025-06-13 19:39:31,10.67,card,completed
6303,2,2025-06-13 17:18:12,0.00,card,voided
6304,3,2025-06-13 13:31:50,5.30,card,completed
6305,4,2025-06-13 14:03:03,16.71,cash,completed
6306,3,2025-06-13 16:02:19,5.19,card,completed
6307,4,2025-06-13 13:31:31,5.32,card,completed
6308,2,2025-06-13 22:09:22,9.98,card,completed
6309,1,2025-06-13 21:46:50,5.15,card,completed
6310,4,2025-06-13 16:06:38,5.13,card,completed
6311,4,2025-06-13 14:06:23,21.65,card,completed
6312,2,2025-06-13 17:22:52,14.71,cash,completed
6313,3,2025-06-13 11:26:25,5.25,card,completed
6314,2,2025-06-13 19:25:29,5.55,card,completed
6315,2,2025-06-13 18:19:17,10.42,cash,completed
6316,4,2025-06-13 13:10:57,16.14,card,completed
6317,1,2025-06-13 19:21:04,10.68,applepay,completed
6318,2,2025-06-13 19:43:31,5.99,card,completed
6319,2,2025-06-13 17:34:19,10.86,card,completed
6320,4,2025-06-13 21:10:17,5.26,card,completed
6321,2,2025-06-13 19:30:49,10.21,applepay,completed
6322,2,2025-06-13 11:16:04,5.15,card,completed
6323,2,2025-06-13 13:24:39,5.32,card,completed
6324,1,2025-06-13 20:11:25,5.10,applepay,completed
6325,4,2025-06-13 17:58:42,21.46,applepay,completed
6326,4,2025-06-13 12:42:30,6.71,cash,completed
6327,1,2025-06-13 12:22:58,5.51,card,completed
6328,2,2025-06-13 17:52:06,5.80,applepay,completed
6329,4,2025-06-13 17:17:37,5.33,card,completed
6330,4,2025-06-13 16:25:41,10.21,cash,completed
6331,3,2025-06-13 11:21:06,11.26,card,completed
6332,2,2025-06-13 16:18:14,5.40,applepay,completed
6333,2,2025-06-13 12:30:04,0.00,card,voided
6334,1,2025-06-13 21:56:02,5.30,card,completed
6335,4,2025-06-13 16:59:02,5.33,applepay,completed
6336,2,2025-06-13 17:22:12,17.00,card,completed
6337,4,2025-06-13 13:20:27,4.83,card,completed
6338,1,2025-06-13 20:17:44,12.10,applepay,completed
6339,2,2025-06-13 21:13:28,5.33,card,completed
6340,4,2025-06-13 17:41:58,5.53,card,completed
6341,4,2025-06-13 21:00:20,5.84,applepay,completed
6342,4,2025-06-13 18:05:05,16.38,card,completed
6343,2,2025-06-13 20:37:54,5.42,card,completed
6344,3,2025-06-13 14:29:35,15.00,applepay,completed
6345,1,2025-06-13 21:20:47,15.96,card,completed
6346,1,2025-06-13 19:16:00,5.19,card,completed
6347,3,2025-06-13 16:46:54,16.67,cash,completed
6348,1,2025-06-13 20:06:23,5.27,card,completed
6349,4,2025-06-13 15:42:37,16.15,applepay,completed
6350,1,2025-06-13 20:49:55,5.21,card,completed
6351,3,2025-06-13 22:12:35,5.50,card,completed
6352,4,2025-06-13 16:35:44,5.97,card,completed
6353,1,2025-06-13 15:20:49,4.99,applepay,completed
6354,1,2025-06-13 17:46:01,5.32,card,completed
6355,1,2025-06-13 18:02:28,5.92,card,completed
6356,3,2025-06-13 13:32:56,5.44,card,completed
6357,1,2025-06-13 15:12:53,5.51,card,completed
6358,3,2025-06-13 19:31:34,11.03,applepay,completed
6359,1,2025-06-13 11:10:29,5.51,card,completed
6360,4,2025-06-13 12:16:57,5.88,card,completed
6361,4,2025-06-13 19:31:55,10.46,card,completed
6362,1,2025-06-13 13:10:07,15.12,card,completed
6363,3,2025-06-13 22:11:41,5.51,card,completed
6364,1,2025-06-13 20:13:02,11.26,card,completed
6365,3,2025-06-13 18:04:14,5.80,card,completed
6366,3,2025-06-13 13:20:16,5.18,card,completed
6367,1,2025-06-13 12:29:24,4.74,card,completed
6368,2,2025-06-13 17:31:06,5.71,applepay,completed
6369,2,2025-06-13 19:08:50,5.42,card,completed
6370,1,2025-06-13 14:11:17,6.03,card,completed
6371,1,2025-06-13 16:14:21,5.22,card,completed
6372,1,2025-06-13 17:25:51,10.75,card,completed
6373,1,2025-06-13 15:24:18,15.92,applepay,completed
6374,1,2025-06-13 17:45:16,5.40,card,completed
6375,1,2025-06-13 15:36:14,16.22,card,completed
6376,3,2025-06-13 22:07:20,5.15,card,completed
6377,4,2025-06-13 17:46:00,5.31,cash,completed
6378,3,2025-06-13 19:59:49,5.13,card,completed
6379,2,2025-06-13 12:03:53,5.52,card,completed
6380,1,2025-06-13 18:21:35,27.20,card,completed
6381,3,2025-06-13 17:50:53,10.48,card,completed
6382,2,2025-06-13 13:02:27,9.75,cash,completed
6383,4,2025-06-13 17:50:45,16.14,card,completed
6384,2,2025-06-13 20:26:33,11.28,applepay,completed
6385,3,2025-06-13 12:38:47,5.10,card,completed
6386,4,2025-06-13 15:18:30,14.61,applepay,completed
6387,4,2025-06-13 16:49:18,11.50,card,completed
6388,2,2025-06-13 13:04:40,28.55,applepay,completed
6389,1,2025-06-13 13:40:24,10.25,card,completed
6390,1,2025-06-13 12:30:54,5.39,card,completed
6391,2,2025-06-13 15:11:08,16.82,card,completed
6392,1,2025-06-13 19:45:05,20.54,card,completed
6393,4,2025-06-13 18:26:20,5.49,applepay,completed
6394,3,2025-06-13 18:39:17,5.27,card,completed
6395,4,2025-06-13 12:31:31,22.72,applepay,completed
6396,2,2025-06-13 14:35:58,27.97,card,completed
6397,1,2025-06-13 19:03:28,4.51,card,completed
6398,3,2025-06-13 13:40:13,9.73,card,completed
6399,2,2025-06-13 12:46:53,5.03,card,completed
6400,2,2025-06-13 14:03:19,10.52,card,completed
6401,3,2025-06-13 16:23:28,5.25,card,completed
6402,4,2025-06-13 20:07:58,5.47,card,completed
6403,1,2025-06-13 20:34:21,10.92,card,completed
6404,2,2025-06-13 11:11:33,10.29,card,completed
6405,2,2025-06-13 18:04:07,5.13,card,completed
6406,1,2025-06-13 14:18:40,10.07,cash,completed
6407,4,2025-06-13 11:47:58,15.86,applepay,completed
6408,1,2025-06-13 18:08:17,5.78,cash,completed
6409,3,2025-06-13 22:55:42,11.69,cash,completed
6410,1,2025-06-13 20:22:59,5.22,applepay,completed
6411,4,2025-06-13 17:42:22,10.96,applepay,completed
