transactionitemid,transactionid,productid,quantity,unitprice
46970,25395,1,2,4.91
46971,25395,10,1,5.19
46972,25396,2,1,5.28
46973,25396,2,1,5.35
46974,25397,13,1,5.83
46975,25397,3,1,5.38
46976,25398,16,1,0.68
46977,25398,10,1,5.22
46978,25398,16,1,0.68
46979,25399,4,1,5.79
46980,25400,1,2,5.01
46981,25400,15,1,5.32
46982,25401,1,1,5.00
46983,25401,16,1,0.67
46984,25402,9,1,5.29
46985,25403,3,1,5.49
46986,25404,9,1,5.12
46987,25404,9,2,5.10
46988,25404,10,2,5.26
46989,25405,1,1,4.83
46990,25405,2,1,5.47
46991,25405,16,1,0.68
46992,25406,13,1,6.00
46993,25407,11,1,5.21
46994,25408,5,1,5.45
46995,25409,1,1,4.85
46996,25410,14,1,5.32
46997,25411,8,1,4.69
46998,25412,4,1,5.98
46999,25412,3,1,5.41
47000,25412,16,1,0.68
47001,25413,7,1,4.47
47002,25414,5,1,5.45
47003,25415,11,1,5.25
47004,25415,12,1,5.11
47005,25415,10,1,5.24
47006,25417,12,1,5.16
47007,25418,10,1,5.26
47008,25419,2,1,5.51
47009,25419,15,1,5.22
47010,25419,16,1,0.69
47011,25420,12,1,5.13
47012,25421,1,1,4.89
47013,25421,11,2,5.25
47014,25422,7,1,4.51
47015,25422,1,1,5.12
47016,25422,12,1,5.23
47017,25422,16,1,0.68
47018,25423,9,1,5.26
47019,25424,4,1,5.89
47020,25425,2,1,5.55
47021,25425,10,1,5.13
47022,25425,10,1,5.21
47023,25426,12,1,5.13
47024,25426,12,1,5.17
47025,25426,16,1,0.68
47026,25427,8,2,4.83
47027,25427,10,1,5.37
47028,25427,14,2,5.37
47029,25428,7,1,4.51
47030,25428,13,1,5.98
47031,25428,14,2,5.39
47032,25428,16,1,0.70
47033,25429,2,1,5.52
47034,25429,3,1,5.43
47035,25430,9,1,5.33
47036,25431,10,2,5.11
47037,25431,2,1,5.56
47038,25432,5,1,5.48
47039,25432,16,1,0.67
47040,25433,4,2,5.88
47041,25433,12,1,5.32
47042,25434,8,1,4.76
47043,25435,12,1,5.28
47044,25436,9,1,5.09
47045,25436,16,1,0.66
47046,25437,1,1,4.84
47047,25438,15,1,5.18
47048,25439,15,1,5.18
47049,25439,5,1,5.50
47050,25439,6,1,4.75
47051,25440,6,2,4.83
47052,25441,12,1,5.25
47053,25442,10,1,5.32
47054,25442,4,1,5.81
47055,25443,5,1,5.51
47056,25444,2,1,5.44
47057,25444,2,1,5.57
47058,25445,1,1,4.99
47059,25447,1,1,5.03
47060,25447,15,1,5.32
47061,25447,16,1,0.68
47062,25448,2,1,5.27
47063,25448,4,2,5.77
47064,25449,6,1,4.70
47065,25450,2,2,5.54
47066,25450,16,1,0.70
47067,25451,1,1,4.99
47068,25451,5,1,5.27
47069,25451,11,1,5.16
47070,25451,3,1,5.35
47071,25452,10,1,5.28
47072,25453,11,1,5.13
47073,25454,13,1,5.86
47074,25454,6,1,4.76
47075,25454,2,1,5.43
47076,25454,6,1,4.93
47077,25455,2,1,5.32
47078,25456,15,1,5.22
47079,25457,4,1,5.98
47080,25457,15,1,5.37
47081,25457,6,1,4.80
47082,25457,6,1,4.90
47083,25458,14,1,5.52
47084,25459,6,1,4.84
47085,25459,12,1,5.34
47086,25459,11,1,5.24
47087,25460,15,2,5.10
47088,25460,3,1,5.39
47089,25460,3,1,5.46
47090,25460,12,1,5.37
47091,25461,5,1,5.27
47092,25461,16,1,0.67
47093,25462,14,1,5.48
47094,25462,10,1,5.35
47095,25462,5,1,5.43
47096,25463,1,2,4.96
47097,25464,11,1,5.25
47098,25465,1,1,5.05
47099,25465,15,1,5.13
47100,25465,13,1,5.83
47101,25465,3,1,5.55
47102,25465,16,1,0.69
47103,25466,4,1,5.82
47104,25466,16,1,0.70
47105,25467,12,1,5.12
47106,25467,4,1,5.85
47107,25468,11,1,5.25
47108,25468,16,1,0.67
47109,25469,10,1,5.22
47110,25469,4,1,5.72
47111,25470,5,1,5.53
47112,25470,12,1,5.16
47113,25471,11,1,5.33
47114,25471,2,1,5.38
47115,25471,9,1,5.15
47116,25471,10,1,5.10
47117,25471,16,1,0.69
47118,25472,3,1,5.54
47119,25472,16,2,0.70
47120,25472,1,1,4.84
47121,25473,2,1,5.28
47122,25473,16,1,0.67
47123,25474,7,1,4.60
47124,25475,9,1,5.34
47125,25475,1,1,4.98
47126,25476,10,1,5.32
47127,25476,6,1,4.85
47128,25477,5,1,5.26
47129,25477,12,1,5.12
47130,25478,4,1,5.82
47131,25478,16,1,0.66
47132,25479,1,1,4.93
47133,25479,12,1,5.21
47134,25479,14,1,5.26
47135,25479,1,1,5.02
47136,25480,13,1,5.99
47137,25480,16,1,0.70
47138,25481,10,1,5.38
47139,25481,16,1,0.67
47140,25482,2,1,5.45
47141,25483,9,1,5.13
47142,25483,16,1,0.70
47143,25484,4,1,5.91
47144,25484,9,1,5.12
47145,25484,5,1,5.30
47146,25484,1,1,4.88
47147,25485,14,1,5.40
47148,25486,6,2,4.72
47149,25486,16,1,0.70
47150,25487,5,1,5.53
47151,25488,5,1,5.41
47152,25488,2,1,5.27
47153,25489,10,1,5.24
47154,25490,1,2,5.08
47155,25490,16,1,0.69
47156,25491,4,1,5.82
47157,25492,4,1,5.82
47158,25492,10,1,5.26
47159,25492,1,1,4.93
47160,25493,6,1,4.69
47161,25493,14,1,5.34
47162,25493,15,1,5.27
47163,25493,3,1,5.46
47164,25494,6,2,4.84
47165,25494,15,1,5.21
47166,25494,1,1,4.83
47167,25495,2,1,5.37
47168,25495,11,1,5.09
47169,25495,8,1,4.87
47170,25495,15,1,5.32
47171,25496,11,1,5.31
47172,25496,14,2,5.31
47173,25497,3,1,5.42
47174,25498,1,2,5.03
47175,25498,8,1,4.74
47176,25498,16,1,0.67
47177,25499,2,1,5.36
47178,25500,6,1,4.72
47179,25501,12,1,5.11
47180,25502,11,1,5.25
47181,25503,9,1,5.36
47182,25503,16,1,0.69
47183,25504,14,1,5.32
47184,25504,4,1,5.82
47185,25505,13,1,6.03
47186,25505,16,1,0.70
47187,25506,2,1,5.36
47188,25506,16,1,0.69
47189,25507,10,1,5.36
47190,25507,16,1,0.67
47191,25507,16,1,0.67
47192,25508,9,1,5.20
47193,25509,12,1,5.16
47194,25510,7,1,4.50
47195,25511,13,1,5.78
47196,25511,16,1,0.69
47197,25512,9,1,5.25
47198,25513,11,1,5.32
47199,25514,10,2,5.20
47200,25514,3,1,5.36
47201,25514,16,1,0.67
47202,25515,6,2,4.92
47203,25516,8,1,4.79
47204,25516,16,1,0.66
47205,25517,5,1,5.58
47206,25517,2,1,5.54
47207,25517,16,1,0.68
47208,25518,9,1,5.38
47209,25518,5,1,5.50
47210,25518,16,1,0.67
47211,25519,8,1,4.84
47212,25519,16,1,0.67
47213,25520,14,1,5.40
47214,25522,3,1,5.40
47215,25522,15,1,5.25
47216,25523,5,1,5.35
47217,25524,9,1,5.25
47218,25524,5,1,5.31
47219,25525,11,1,5.31
47220,25526,14,1,5.45
47221,25527,16,1,0.67
47222,25528,1,1,5.04
47223,25529,5,1,5.41
47224,25530,4,1,5.89
47225,25531,10,1,5.32
47226,25532,7,1,4.53
47227,25533,11,1,5.27
47228,25533,10,1,5.21
47229,25534,2,1,5.57
47230,25534,10,1,5.14
47231,25534,12,1,5.19
47232,25535,11,1,5.32
47233,25536,11,1,5.13
47234,25536,1,2,5.11
47235,25536,2,1,5.51
47236,25536,4,1,5.95
47237,25537,16,1,0.66
47238,25537,11,1,5.17
47239,25538,4,1,5.78
47240,25538,1,2,4.94
47241,25538,13,1,5.87
47242,25539,7,1,4.44
47243,25539,3,2,5.28
47244,25540,5,1,5.50
47245,25541,10,2,5.36
47246,25542,12,1,5.35
47247,25542,16,1,0.69
47248,25543,6,1,4.74
47249,25543,3,2,5.51
47250,25543,2,1,5.55
47251,25543,14,1,5.30
47252,25544,12,1,5.32
47253,25544,6,1,4.82
47254,25545,11,2,5.14
47255,25545,3,1,5.45
47256,25546,15,1,5.20
47257,25547,6,2,4.68
47258,25548,1,2,4.94
47259,25548,6,1,4.71
47260,25549,11,1,5.15
47261,25550,15,1,5.09
47262,25551,3,1,5.52
47263,25551,16,1,0.66
47264,25552,1,2,4.84
47265,25553,16,1,0.67
47266,25554,9,1,5.24
47267,25554,16,1,0.66
47268,25555,3,1,5.51
47269,25555,10,1,5.21
47270,25557,12,2,5.09
47271,25557,10,1,5.11
47272,25557,1,1,5.03
47273,25558,11,1,5.29
47274,25558,16,1,0.69
47275,25559,1,1,5.01
47276,25559,5,1,5.40
47277,25559,15,1,5.40
47278,25561,10,1,5.32
47279,25562,5,1,5.50
47280,25562,3,1,5.42
47281,25562,14,1,5.37
47282,25563,8,1,4.75
47283,25564,11,1,5.39
47284,25564,10,1,5.35
47285,25565,14,1,5.55
47286,25565,15,1,5.36
47287,25565,14,1,5.47
47288,25565,16,1,0.67
47289,25566,8,1,4.65
47290,25567,5,1,5.42
47291,25568,12,1,5.40
47292,25568,2,1,5.29
47293,25568,1,1,4.97
47294,25568,10,1,5.14
47295,25569,16,1,0.66
47296,25569,14,1,5.51
47297,25570,1,1,5.09
47298,25571,10,2,5.13
47299,25571,8,1,4.87
47300,25571,7,1,4.50
47301,25571,12,1,5.33
47302,25572,8,2,4.77
47303,25572,4,1,5.91
47304,25572,6,1,4.66
47305,25572,16,1,0.69
47306,25573,11,1,5.37
47307,25573,16,1,0.67
47308,25574,10,2,5.32
47309,25575,1,1,4.95
47310,25575,11,1,5.35
47311,25575,16,1,0.68
47312,25576,12,1,5.31
47313,25576,5,1,5.41
47314,25576,5,1,5.58
47315,25577,14,1,5.53
47316,25577,1,2,5.02
47317,25577,16,1,0.69
47318,25578,13,1,5.89
47319,25578,7,1,4.48
47320,25578,15,2,5.32
47321,25578,10,1,5.36
47322,25579,2,1,5.34
47323,25580,15,1,5.17
47324,25580,1,1,4.96
47325,25580,5,1,5.51
47326,25581,4,1,5.98
47327,25581,16,1,0.68
47328,25582,10,1,5.26
47329,25582,1,1,5.12
47330,25582,16,1,0.68
47331,25583,5,1,5.27
47332,25584,5,2,5.41
47333,25584,8,1,4.73
47334,25585,7,1,4.64
47335,25585,1,1,4.90
47336,25585,15,1,5.39
47337,25586,13,1,5.73
47338,25587,1,1,4.85
47339,25587,14,1,5.29
47340,25587,3,1,5.52
47341,25588,1,1,5.10
47342,25589,12,1,5.24
47343,25590,5,1,5.33
47344,25591,6,1,4.91
47345,25591,11,1,5.31
47346,25591,16,1,0.70
47347,25592,12,1,5.22
47348,25593,11,1,5.39
47349,25593,13,1,5.94
47350,25593,7,2,4.43
47351,25593,7,1,4.40
47352,25594,14,2,5.50
47353,25595,5,1,5.48
47354,25596,11,1,5.35
47355,25597,10,2,5.23
47356,25597,5,1,5.33
47357,25597,4,1,5.92
47358,25597,9,1,5.22
47359,25597,16,1,0.67
47360,25598,2,1,5.33
47361,25599,8,1,4.74
47362,25600,10,2,5.15
47363,25600,16,2,0.68
47364,25600,9,1,5.15
47365,25600,5,1,5.56
47366,25601,5,1,5.46
47367,25601,10,2,5.13
47368,25601,4,1,5.84
47369,25602,9,1,5.35
47370,25602,11,1,5.29
47371,25602,16,1,0.68
47372,25603,9,1,5.22
47373,25604,6,1,4.78
47374,25605,1,1,4.98
47375,25605,5,1,5.38
47376,25605,2,1,5.42
47377,25606,6,2,4.75
47378,25606,11,1,5.14
47379,25607,1,1,5.09
47380,25608,7,1,4.40
47381,25609,2,1,5.32
47382,25610,16,1,0.67
47383,25611,2,1,5.48
47384,25611,3,1,5.57
47385,25611,12,1,5.39
47386,25612,10,1,5.27
47387,25612,15,1,5.17
47388,25613,5,1,5.42
47389,25614,16,1,0.70
47390,25615,10,1,5.38
47391,25615,14,1,5.47
47392,25615,1,2,5.02
47393,25615,14,1,5.56
47394,25615,16,1,0.67
47395,25616,1,1,4.92
47396,25617,5,1,5.44
47397,25617,10,1,5.34
47398,25617,2,1,5.50
47399,25618,2,1,5.49
47400,25618,16,1,0.68
47401,25619,12,1,5.12
47402,25619,11,1,5.28
47403,25620,16,1,0.66
47404,25620,5,2,5.39
47405,25620,8,1,4.88
47406,25620,16,1,0.70
47407,25621,11,1,5.39
47408,25622,1,1,5.01
47409,25622,7,1,4.60
47410,25623,11,1,5.39
47411,25624,12,2,5.22
47412,25624,16,1,0.67
47413,25625,8,1,4.88
47414,25626,12,1,5.34
47415,25626,5,1,5.47
47416,25627,3,1,5.31
47417,25628,1,1,5.08
47418,25628,5,2,5.46
47419,25628,9,1,5.12
47420,25629,7,2,4.51
47421,25629,3,1,5.29
47422,25629,12,1,5.15
47423,25630,5,1,5.29
47424,25631,4,1,5.73
47425,25632,10,1,5.40
47426,25632,12,1,5.13
47427,25633,9,2,5.20
47428,25634,9,1,5.25
47429,25634,10,1,5.22
47430,25635,4,1,5.80
47431,25636,9,1,5.38
47432,25637,9,2,5.29
47433,25638,15,1,5.13
47434,25639,16,1,0.69
47435,25639,5,1,5.59
47436,25640,14,2,5.58
47437,25641,10,1,5.15
47438,25641,11,2,5.31
47439,25641,10,1,5.30
47440,25641,16,1,0.67
47441,25642,6,1,4.65
47442,25643,12,2,5.15
47443,25643,3,1,5.51
47444,25643,6,1,4.65
47445,25643,3,2,5.29
47446,25644,1,1,5.09
47447,25644,1,1,5.10
47448,25644,13,1,5.82
47449,25644,8,1,4.67
47450,25644,16,1,0.68
47451,25645,1,1,4.95
47452,25646,11,1,5.25
47453,25646,1,1,4.83
47454,25646,11,1,5.22
47455,25647,14,1,5.42
47456,25647,16,1,0.68
47457,25648,13,1,5.98
47458,25648,11,1,5.25
47459,25648,13,1,5.98
47460,25649,15,1,5.24
47461,25650,6,1,4.93
47462,25650,5,1,5.47
47463,25650,15,1,5.11
47464,25650,8,1,4.71
47465,25651,14,1,5.40
47466,25652,9,1,5.09
47467,25653,2,1,5.53
47468,25653,14,1,5.50
47469,25654,9,2,5.32
47470,25655,11,1,5.39
47471,25656,13,2,5.91
47472,25657,15,1,5.09
47473,25657,11,1,5.32
47474,25657,15,1,5.18
47475,25658,2,1,5.53
47476,25659,2,1,5.39
47477,25659,2,1,5.32
47478,25660,6,1,4.94
47479,25660,10,1,5.35
47480,25660,16,1,0.66
47481,25661,4,1,6.05
47482,25661,5,1,5.39
47483,25661,16,1,0.67
47484,25662,16,1,0.68
47485,25662,16,1,0.67
47486,25663,15,1,5.16
47487,25664,1,1,4.87
47488,25665,7,1,4.50
47489,25665,15,1,5.21
47490,25666,2,1,5.36
47491,25667,1,2,4.83
47492,25668,14,2,5.28
47493,25668,16,1,0.70
47494,25669,2,1,5.33
47495,25669,7,2,4.61
47496,25669,5,1,5.26
47497,25670,13,1,6.00
47498,25671,10,1,5.17
47499,25671,15,1,5.31
47500,25671,16,1,0.67
47501,25672,11,2,5.23
47502,25673,5,1,5.35
47503,25673,11,1,5.22
47504,25673,2,1,5.39
47505,25673,1,2,4.88
47506,25674,8,1,4.76
47507,25674,5,2,5.38
47508,25674,1,2,5.01
47509,25675,11,1,5.30
47510,25676,3,1,5.37
47511,25676,2,1,5.42
47512,25676,3,1,5.36
47513,25677,2,1,5.54
47514,25677,1,2,5.07
47515,25678,6,1,4.74
47516,25678,16,1,0.68
47517,25679,9,1,5.26
47518,25679,9,1,5.16
47519,25679,16,1,0.70
47520,25680,11,1,5.32
47521,25680,16,1,0.68
47522,25681,10,1,5.30
47523,25682,9,1,5.40
47524,25682,11,1,5.30
47525,25682,12,1,5.33
47526,25682,6,1,4.65
47527,25683,12,1,5.12
47528,25684,3,1,5.44
47529,25684,1,1,4.99
47530,25685,2,1,5.32
47531,25686,6,1,4.87
47532,25686,14,1,5.36
47533,25686,13,1,5.77
47534,25687,1,1,4.94
47535,25687,14,1,5.47
47536,25687,1,1,5.10
47537,25687,16,1,0.67
47538,25688,10,1,5.16
47539,25689,14,1,5.35
47540,25689,3,1,5.32
47541,25689,16,1,0.67
47542,25690,8,1,4.93
47543,25691,7,1,4.42
47544,25691,2,1,5.26
47545,25692,6,1,4.72
47546,25693,8,1,4.88
47547,25693,16,1,0.68
47548,25693,3,2,5.33
47549,25694,9,1,5.28
47550,25695,1,1,4.97
47551,25695,7,1,4.38
47552,25696,1,1,4.84
47553,25697,4,1,5.96
47554,25698,3,1,5.33
47555,25699,9,1,5.39
47556,25699,5,1,5.29
47557,25700,5,1,5.47
47558,25701,10,1,5.17
47559,25701,4,2,5.70
47560,25702,2,2,5.37
47561,25702,16,1,0.70
47562,25703,7,1,4.46
47563,25703,5,1,5.35
47564,25704,3,1,5.51
47565,25704,4,2,5.80
47566,25704,16,1,0.67
47567,25705,5,1,5.57
47568,25705,16,1,0.70
47569,25706,9,1,5.14
47570,25707,9,1,5.35
47571,25708,11,1,5.28
47572,25709,16,1,0.67
47573,25710,4,1,5.77
47574,25710,14,1,5.39
47575,25710,14,1,5.31
47576,25710,1,1,4.89
47577,25711,14,1,5.38
47578,25712,2,1,5.56
47579,25713,2,1,5.44
47580,25713,16,1,0.67
47581,25714,14,1,5.51
47582,25714,16,1,0.66
47583,25715,3,1,5.53
47584,25715,9,1,5.18
47585,25715,9,1,5.15
47586,25716,9,1,5.16
47587,25717,7,1,4.57
47588,25717,16,1,0.67
47589,25718,5,1,5.45
47590,25718,4,1,5.89
47591,25718,16,1,0.67
47592,25719,4,1,5.84
47593,25719,16,1,0.66
47594,25720,11,1,5.21
47595,25721,15,1,5.28
47596,25722,3,1,5.45
47597,25723,6,1,4.87
47598,25723,13,1,6.00
47599,25724,12,1,5.16
47600,25724,10,1,5.21
47601,25724,16,1,0.70
47602,25725,10,1,5.18
47603,25725,10,1,5.20
47604,25725,11,1,5.15
47605,25726,1,2,5.08
47606,25726,10,1,5.34
47607,25726,16,1,0.67
47608,25727,7,1,4.55
47609,25728,15,1,5.20
47610,25728,15,1,5.16
47611,25728,5,1,5.40
47612,25728,16,1,0.68
47613,25729,4,1,5.86
47614,25729,2,2,5.41
47615,25730,10,1,5.38
47616,25731,11,1,5.40
47617,25731,16,1,0.67
47618,25732,13,1,5.74
47619,25732,11,1,5.14
47620,25732,16,1,0.67
47621,25733,4,1,5.70
47622,25734,4,1,5.87
47623,25735,12,2,5.11
47624,25736,7,2,4.59
47625,25736,10,1,5.37
47626,25736,6,1,4.72
47627,25737,8,2,4.75
47628,25737,11,1,5.22
47629,25737,5,1,5.48
47630,25737,16,1,0.67
47631,25738,3,1,5.40
47632,25738,9,1,5.31
47633,25738,15,1,5.32
47634,25739,11,1,5.17
47635,25739,1,1,5.09
47636,25739,7,1,4.60
47637,25739,13,1,5.99
47638,25739,16,1,0.70
47639,25740,10,1,5.34
47640,25741,15,1,5.22
47641,25742,7,2,4.65
47642,25743,5,1,5.51
47643,25744,11,1,5.13
47644,25745,13,1,6.03
47645,25745,16,1,0.70
47646,25745,12,1,5.24
47647,25746,9,1,5.13
47648,25746,16,1,0.66
47649,25747,14,2,5.33
47650,25747,4,1,5.91
47651,25747,16,1,0.69
47652,25748,13,1,5.75
47653,25749,6,1,4.72
47654,25750,4,1,5.93
47655,25750,16,1,0.67
47656,25751,3,1,5.46
47657,25751,16,1,0.69
47658,25752,1,1,4.94
47659,25753,16,1,0.70
47660,25753,9,1,5.12
47661,25754,5,2,5.52
47662,25755,6,1,4.66
47663,25755,4,1,6.03
47664,25756,4,1,5.94
47665,25757,2,1,5.45
47666,25757,12,1,5.18
47667,25758,1,1,4.85
47668,25758,4,1,5.83
47669,25758,16,1,0.70
47670,25759,2,2,5.44
47671,25760,6,1,4.87
47672,25761,3,1,5.37
47673,25761,9,1,5.37
47674,25761,6,1,4.84
47675,25761,2,1,5.31
47676,25762,16,1,0.69
47677,25763,16,1,0.68
47678,25763,16,1,0.69
47679,25764,5,2,5.41
47680,25765,1,1,4.95
47681,25765,1,1,4.97
47682,25766,8,2,4.67
47683,25767,15,1,5.17
47684,25767,3,2,5.41
47685,25767,11,2,5.40
47686,25767,9,1,5.33
47687,25768,11,2,5.13
47688,25770,10,1,5.15
47689,25770,6,1,4.84
47690,25770,2,1,5.44
47691,25771,13,1,6.03
47692,25771,8,1,4.81
47693,25771,11,1,5.23
47694,25772,4,1,5.71
47695,25773,14,1,5.28
47696,25774,5,2,5.35
47697,25775,4,1,5.94
47698,25776,10,1,5.25
47699,25776,1,1,4.89
47700,25777,1,1,5.07
47701,25777,9,2,5.40
47702,25777,4,1,5.93
47703,25777,16,1,0.66
47704,25778,1,1,4.97
47705,25779,10,1,5.21
47706,25779,2,1,5.48
47707,25779,2,1,5.38
47708,25779,6,1,4.86
47709,25780,11,1,5.26
47710,25781,12,1,5.32
47711,25781,16,1,0.70
47712,25782,3,1,5.54
47713,25782,5,2,5.33
47714,25783,10,1,5.29
47715,25783,7,1,4.45
47716,25784,4,2,5.96
47717,25784,8,1,4.71
47718,25785,4,2,5.87
47719,25785,9,1,5.16
47720,25785,5,1,5.51
47721,25786,14,1,5.37
47722,25786,16,1,0.66
47723,25787,10,1,5.23
47724,25787,5,1,5.51
47725,25788,16,1,0.66
47726,25789,10,1,5.19
47727,25789,16,1,0.67
47728,25790,4,1,5.94
47729,25791,14,1,5.41
47730,25791,9,1,5.18
47731,25791,16,1,0.66
47732,25792,10,1,5.13
47733,25793,14,1,5.29
47734,25794,6,1,4.65
47735,25794,3,1,5.33
47736,25794,2,1,5.44
47737,25794,16,1,0.66
47738,25795,1,1,4.90
47739,25796,1,1,5.06
47740,25796,7,1,4.64
47741,25796,16,1,0.68
47742,25797,1,1,4.86
47743,25797,16,1,0.70
47744,25798,3,2,5.49
47745,25798,9,1,5.26
47746,25798,2,1,5.35
47747,25798,7,1,4.55
47748,25799,14,1,5.54
47749,25800,3,2,5.30
47750,25801,1,1,5.10
47751,25802,9,1,5.11
47752,25802,8,2,4.79
47753,25802,16,1,0.68
47754,25803,1,1,4.99
47755,25804,3,1,5.37
47756,25805,9,2,5.40
47757,25806,11,1,5.13
47758,25807,12,2,5.37
47759,25808,11,1,5.09
47760,25808,16,1,0.67
47761,25809,9,1,5.33
47762,25810,1,1,5.00
47763,25811,2,2,5.43
47764,25811,13,1,6.01
47765,25811,16,1,0.69
47766,25812,4,1,5.72
47767,25813,13,1,5.99
47768,25813,9,1,5.28
47769,25814,6,1,4.77
47770,25814,2,1,5.51
47771,25815,2,1,5.30
47772,25815,10,2,5.34
47773,25816,3,1,5.44
47774,25817,13,1,5.88
47775,25818,3,1,5.57
47776,25819,5,1,5.55
47777,25820,5,1,5.43
47778,25820,7,2,4.58
47779,25821,7,1,4.40
47780,25821,1,1,4.99
47781,25821,16,1,0.68
47782,25822,7,2,4.51
47783,25822,1,1,4.89
47784,25823,5,1,5.38
47785,25824,4,1,6.04
47786,25825,12,1,5.21
47787,25826,2,1,5.51
47788,25826,16,1,0.70
47789,25827,8,1,4.90
47790,25827,16,1,0.66
47791,25828,3,1,5.48
47792,25829,15,1,5.20
47793,25830,8,1,4.71
47794,25830,16,1,0.69
47795,25831,6,1,4.74
47796,25831,3,1,5.53
47797,25831,5,1,5.51
47798,25831,14,2,5.41
47799,25832,1,1,4.91
47800,25832,12,1,5.30
47801,25833,16,1,0.67
47802,25833,7,1,4.60
47803,25834,2,1,5.26
47804,25835,4,1,6.05
47805,25836,15,1,5.25
47806,25836,16,1,0.68
47807,25837,14,2,5.45
47808,25838,8,1,4.83
47809,25838,10,1,5.23
47810,25838,3,2,5.49
47811,25838,16,1,0.69
47812,25839,2,1,5.44
47813,25840,14,2,5.36
47814,25840,5,1,5.59
47815,25841,12,1,5.12
47816,25841,14,1,5.32
47817,25842,10,1,5.30
47818,25842,1,1,4.84
47819,25843,10,1,5.15
47820,25844,2,1,5.51
47821,25844,8,1,4.79
47822,25844,13,1,6.04
47823,25845,9,1,5.13
47824,25845,1,1,4.88
47825,25846,1,1,5.10
47826,25846,3,2,5.46
47827,25846,15,1,5.17
47828,25846,16,1,0.66
47829,25847,3,1,5.34
47830,25848,12,2,5.28
47831,25848,4,1,5.82
47832,25849,11,2,5.39
47833,25849,3,1,5.30
47834,25849,16,1,0.69
47835,25850,3,1,5.42
47836,25851,8,2,4.85
47837,25851,16,1,0.69
47838,25852,2,1,5.36
47839,25853,10,1,5.24
47840,25853,6,1,4.71
47841,25853,4,1,6.01
47842,25854,4,1,5.93
47843,25855,1,1,5.09
47844,25855,2,1,5.54
47845,25856,2,1,5.26
47846,25856,16,1,0.66
47847,25857,15,2,5.25
47848,25857,1,1,4.94
47849,25857,3,1,5.36
47850,25857,16,1,0.68
47851,25858,1,1,4.97
47852,25858,16,1,0.69
47853,25859,1,1,4.91
47854,25860,8,1,4.77
47855,25861,3,1,5.41
47856,25862,1,1,5.12
47857,25863,3,1,5.59
47858,25864,14,1,5.38
47859,25865,9,1,5.24
47860,25866,1,2,5.07
47861,25866,5,1,5.40
47862,25867,15,1,5.14
47863,25867,16,1,0.69
47864,25868,12,1,5.29
47865,25868,16,1,0.70
47866,25869,15,1,5.18
47867,25870,16,1,0.70
47868,25871,1,1,4.94
47869,25871,16,1,0.67
47870,25872,6,1,4.85
47871,25872,2,1,5.59
47872,25873,10,1,5.32
47873,25874,2,1,5.32
47874,25874,5,1,5.57
47875,25875,13,1,5.98
47876,25876,1,1,4.95
47877,25876,3,1,5.44
47878,25876,6,1,4.78
47879,25877,16,1,0.66
47880,25877,8,1,4.70
47881,25877,16,1,0.70
47882,25878,4,1,5.80
47883,25878,5,1,5.39
47884,25878,13,1,5.73
47885,25879,14,1,5.50
47886,25879,13,1,5.84
47887,25879,1,1,4.89
47888,25880,1,1,5.00
47889,25881,1,1,5.05
47890,25881,1,1,4.86
47891,25881,16,1,0.68
47892,25882,4,1,5.93
47893,25882,14,1,5.41
47894,25883,13,2,5.91
47895,25883,6,1,4.74
47896,25884,15,2,5.13
47897,25884,8,2,4.86
47898,25884,11,1,5.35
47899,25884,3,1,5.29
47900,25885,7,1,4.54
47901,25885,11,1,5.12
47902,25885,4,1,5.76
47903,25886,15,2,5.22
47904,25886,8,1,4.93
47905,25887,7,1,4.45
47906,25887,2,2,5.54
47907,25887,2,1,5.35
47908,25887,5,1,5.30
47909,25888,1,1,4.99
47910,25889,12,1,5.10
47911,25889,1,1,4.89
47912,25889,11,1,5.20
47913,25890,11,1,5.33
47914,25890,6,1,4.74
47915,25890,12,1,5.31
47916,25890,16,1,0.70
47917,25891,4,1,5.95
47918,25892,3,1,5.29
47919,25893,3,1,5.26
47920,25893,15,1,5.24
47921,25893,1,1,5.07
47922,25894,1,1,4.95
47923,25894,7,1,4.47
47924,25894,9,2,5.09
47925,25894,9,1,5.20
47926,25895,2,1,5.32
47927,25895,14,1,5.45
47928,25895,16,1,0.67
47929,25896,3,1,5.29
47930,25897,5,1,5.56
47931,25897,6,1,4.89
47932,25898,1,1,5.07
47933,25898,1,1,5.09
47934,25898,2,1,5.36
47935,25899,5,2,5.41
47936,25900,12,2,5.37
47937,25901,1,1,4.93
47938,25901,3,1,5.31
47939,25901,12,1,5.37
47940,25901,4,1,5.75
47941,25902,2,1,5.49
47942,25903,1,1,4.98
47943,25904,6,1,4.93
47944,25904,16,1,0.66
47945,25905,5,1,5.44
47946,25906,6,1,4.71
47947,25906,16,1,0.70
47948,25907,15,1,5.15
47949,25907,1,2,5.08
47950,25907,16,1,0.70
47951,25908,3,1,5.55
47952,25909,15,2,5.23
47953,25909,15,1,5.29
47954,25909,16,1,0.68
47955,25910,9,1,5.13
47956,25910,6,1,4.69
47957,25910,6,1,4.90
47958,25911,6,1,4.69
47959,25911,10,2,5.32
47960,25912,5,1,5.41
47961,25912,12,1,5.28
47962,25912,2,1,5.57
47963,25913,11,1,5.16
47964,25913,12,1,5.15
47965,25913,8,1,4.80
47966,25913,16,1,0.68
47967,25914,2,1,5.43
